iter	Passed	Remaining
0	21	10607
1	35	8754
2	48	8087
3	63	7923
4	81	8049
5	93	7736
6	109	7707
7	125	7710
8	140	7665
9	158	7755
10	175	7821
11	194	7906
12	210	7895
13	226	7852
14	241	7798
15	255	7721
16	271	7700
17	287	7709
18	302	7646
19	314	7545
20	327	7476
21	342	7449
22	356	7402
23	374	7427
24	389	7404
25	406	7417
26	421	7391
27	437	7373
28	451	7326
29	465	7287
30	478	7245
31	495	7239
32	510	7222
33	525	7203
34	540	7181
35	553	7137
36	567	7100
37	581	7073
38	594	7032
39	609	7005
40	622	6973
41	635	6935
42	648	6891
43	663	6875
44	676	6843
45	690	6816
46	704	6789
47	720	6784
48	736	6777
49	753	6784
50	770	6787
51	786	6772
52	800	6748
53	814	6723
54	828	6705
55	844	6692
56	858	6674
57	872	6648
58	887	6630
59	902	6617
60	919	6620
61	937	6622
62	954	6623
63	972	6623
64	987	6611
65	1003	6597
66	1022	6608
67	1043	6631
68	1059	6620
69	1077	6615
70	1091	6597
71	1109	6592
72	1124	6576
73	1138	6556
74	1153	6536
75	1170	6530
76	1190	6537
77	1205	6522
78	1222	6516
79	1237	6496
80	1251	6475
81	1266	6456
82	1282	6444
83	1297	6427
84	1312	6408
85	1328	6393
86	1344	6382
87	1360	6370
88	1375	6351
89	1414	6445
90	1438	6466
91	1456	6460
92	1474	6452
93	1490	6439
94	1506	6423
95	1520	6400
96	1535	6378
97	1549	6357
98	1564	6338
99	1578	6315
100	1593	6294
101	1607	6270
102	1620	6245
103	1639	6242
104	1658	6239
105	1675	6229
106	1691	6214
107	1709	6204
108	1727	6197
109	1743	6182
110	1760	6170
111	1776	6155
112	1790	6132
113	1805	6112
114	1820	6093
115	1834	6073
116	1849	6052
117	1864	6034
118	1877	6012
119	1892	5994
120	1906	5972
121	1921	5952
122	1936	5936
123	1951	5917
124	1965	5897
125	1980	5879
126	1995	5861
127	2010	5842
128	2026	5828
129	2041	5811
130	2056	5792
131	2070	5772
132	2085	5755
133	2103	5745
134	2121	5735
135	2144	5740
136	2163	5731
137	2179	5718
138	2196	5705
139	2211	5686
140	2226	5668
141	2242	5654
142	2260	5643
143	2275	5625
144	2290	5608
145	2307	5593
146	2322	5576
147	2338	5561
148	2353	5543
149	2367	5523
150	2381	5504
151	2395	5484
152	2409	5465
153	2425	5448
154	2440	5432
155	2455	5414
156	2470	5397
157	2485	5379
158	2501	5365
159	2518	5351
160	2537	5342
161	2554	5330
162	2573	5321
163	2589	5304
164	2603	5286
165	2618	5267
166	2631	5248
167	2646	5229
168	2660	5209
169	2674	5191
170	2688	5172
171	2704	5157
172	2719	5140
173	2733	5122
174	2749	5106
175	2763	5088
176	2779	5072
177	2795	5056
178	2810	5039
179	2824	5021
180	2839	5004
181	2856	4991
182	2872	4975
183	2886	4957
184	2901	4940
185	2914	4920
186	2929	4904
187	2944	4886
188	2959	4870
189	2974	4853
190	2991	4839
191	3008	4826
192	3023	4809
193	3037	4791
194	3052	4775
195	3067	4757
196	3081	4739
197	3096	4722
198	3111	4706
199	3126	4689
200	3144	4677
201	3161	4663
202	3178	4649
203	3192	4632
204	3207	4615
205	3230	4610
206	3247	4596
207	3264	4583
208	3280	4567
209	3296	4552
210	3314	4539
211	3330	4524
212	3346	4509
213	3362	4494
214	3379	4479
215	3393	4462
216	3409	4446
217	3423	4428
218	3436	4409
219	3450	4391
220	3465	4374
221	3479	4356
222	3494	4340
223	3508	4322
224	3521	4304
225	3536	4287
226	3556	4276
227	3574	4264
228	3592	4251
229	3608	4236
230	3622	4218
231	3636	4200
232	3650	4183
233	3667	4168
234	3681	4151
235	3696	4134
236	3711	4118
237	3727	4103
238	3742	4087
239	3759	4073
240	3775	4057
241	3789	4039
242	3803	4023
243	3818	4006
244	3832	3989
245	3848	3973
246	3862	3955
247	3878	3940
248	3893	3924
249	3908	3908
250	3924	3893
251	3939	3877
252	3956	3862
253	3973	3848
254	3989	3833
255	4006	3818
256	4022	3802
257	4038	3788
258	4054	3772
259	4069	3756
260	4084	3739
261	4099	3724
262	4114	3707
263	4128	3690
264	4143	3674
265	4159	3659
266	4179	3646
267	4195	3631
268	4211	3616
269	4227	3601
270	4244	3586
271	4260	3571
272	4276	3556
273	4290	3539
274	4305	3522
275	4320	3506
276	4335	3490
277	4350	3474
278	4366	3458
279	4383	3444
280	4406	3433
281	4434	3427
282	4454	3415
283	4474	3403
284	4493	3390
285	4514	3377
286	4529	3361
287	4545	3346
288	4560	3329
289	4575	3313
290	4590	3297
291	4605	3280
292	4620	3264
293	4634	3247
294	4651	3232
295	4667	3216
296	4685	3202
297	4701	3186
298	4716	3170
299	4733	3155
300	4748	3139
301	4762	3122
302	4776	3105
303	4790	3088
304	4804	3071
305	4819	3055
306	4837	3040
307	4857	3028
308	4874	3013
309	4889	2997
310	4905	2981
311	4921	2965
312	4938	2950
313	4952	2933
314	4968	2918
315	4987	2904
316	5004	2889
317	5022	2874
318	5038	2858
319	5054	2842
320	5069	2826
321	5086	2811
322	5102	2796
323	5120	2781
324	5135	2765
325	5149	2748
326	5163	2731
327	5179	2716
328	5194	2699
329	5209	2683
330	5229	2669
331	5249	2656
332	5270	2643
333	5291	2629
334	5310	2615
335	5330	2601
336	5352	2588
337	5373	2575
338	5395	2562
339	5416	2548
340	5436	2534
341	5457	2521
342	5479	2508
343	5500	2494
344	5521	2480
345	5541	2466
346	5563	2452
347	5583	2438
348	5604	2424
349	5623	2410
350	5643	2395
351	5665	2381
352	5687	2368
353	5710	2355
354	5730	2340
355	5751	2326
356	5773	2312
357	5794	2298
358	5814	2283
359	5833	2268
360	5851	2253
361	5871	2238
362	5889	2222
363	5909	2207
364	5930	2193
365	5951	2178
366	5971	2164
367	5992	2149
368	6013	2134
369	6029	2118
370	6043	2101
371	6057	2084
372	6072	2067
373	6088	2051
374	6103	2034
375	6120	2018
376	6134	2001
377	6151	1985
378	6167	1968
379	6185	1953
380	6203	1937
381	6219	1921
382	6236	1904
383	6251	1888
384	6268	1872
385	6285	1856
