iter	TOPKPAUCMetricRanking
0	0.52196
1	0.5264
2	0.5278
3	0.53088
4	0.52576
5	0.52704
6	0.5258
7	0.52684
8	0.52336
9	0.52484
10	0.52644
11	0.5256
12	0.52444
13	0.525
14	0.5254
15	0.52132
16	0.52224
17	0.52304
18	0.52056
19	0.5193407469
20	0.5217407469
21	0.5227007469
22	0.5214607469
23	0.5224207469
24	0.5222607469
25	0.5213807469
26	0.5224207469
27	0.5229407469
28	0.5226607469
29	0.5227407469
30	0.5227407469
31	0.5233407469
32	0.5237007469
33	0.5233407469
34	0.5216014938
35	0.5212414938
36	0.5221614938
37	0.5226814938
38	0.5216414938
39	0.5216414938
40	0.5222414938
41	0.5221214938
42	0.5224414938
43	0.5218814938
44	0.5218014938
45	0.5214014938
46	0.5211614938
47	0.5218014938
48	0.5210414938
49	0.5206414938
50	0.5219614938
51	0.5216814938
52	0.5223214938
53	0.5234622407
54	0.5234222407
55	0.5233022407
56	0.5238222407
57	0.5235422407
58	0.5232222407
59	0.5231422407
60	0.5231422407
61	0.5232222407
62	0.5232222407
63	0.5234222407
64	0.5230622407
65	0.5240222407
66	0.5234222407
67	0.5235422407
68	0.5228414938
69	0.5230014938
70	0.5218014938
71	0.5207214938
72	0.5204814938
73	0.5200814938
74	0.5200414938
75	0.5200814938
76	0.5207214938
77	0.5204414938
78	0.5207614938
79	0.5209822407
80	0.5208222407
81	0.5215422407
82	0.5219822407
83	0.5214622407
84	0.5219822407
85	0.5224622407
86	0.5223022407
87	0.5220622407
88	0.5224622407
89	0.5220622407
90	0.5226222407
91	0.5223022407
92	0.5228222407
93	0.5220222407
94	0.5222622407
95	0.5224622407
96	0.5225422407
97	0.5223022407
98	0.5219214938
99	0.5217214938
100	0.5220814938
101	0.5219214938
102	0.5218014938
103	0.5213214938
104	0.5215614938
105	0.5213614938
106	0.5216414938
107	0.5215614938
108	0.5211214938
109	0.5215214938
110	0.5217214938
111	0.5218014938
112	0.5216414938
113	0.5217407469
114	0.5219807469
115	0.5219007469
116	0.5222607469
117	0.5222607469
118	0.5220207469
119	0.5221807469
120	0.5221807469
121	0.5215807469
122	0.5215007469
123	0.5209007469
124	0.5213807469
125	0.5209007469
126	0.5207007469
127	0.5213407469
128	0.5213407469
129	0.5210607469
130	0.5212607469
131	0.5202607469
132	0.5202607469
133	0.5201807469
134	0.5203407469
135	0.5204207469
136	0.5203007469
137	0.5204607469
138	0.5207007469
139	0.5209007469
140	0.5209407469
141	0.5210607469
142	0.5209407469
143	0.5207407469
144	0.5197007469
145	0.5199407469
146	0.5197407469
147	0.5199407469
148	0.5201807469
149	0.5202607469
150	0.5203407469
151	0.5203007469
152	0.5203807469
153	0.5202607469
154	0.5203807469
155	0.5197407469
156	0.5201807469
157	0.5200207469
158	0.5197407469
159	0.5194607469
160	0.5193807469
161	0.5197007469
162	0.5197407469
163	0.5195807469
164	0.5194207469
165	0.5194607469
166	0.5193007469
167	0.5191807469
168	0.5192607469
169	0.5192207469
170	0.5190607469
171	0.5187407469
172	0.5188607469
173	0.5191007469
174	0.5190607469
175	0.5194207469
176	0.5193007469
177	0.5191807469
178	0.5188207469
179	0.5190607469
180	0.5191007469
181	0.5195007469
182	0.5192607469
183	0.5194607469
184	0.5189407469
185	0.5185807469
186	0.5186207469
187	0.5186207469
188	0.5186207469
189	0.5185807469
190	0.5184607469
191	0.5183007469
192	0.5181807469
193	0.5185007469
194	0.5185407469
195	0.5185807469
196	0.5184607469
197	0.5183007469
198	0.5183807469
199	0.5187007469
