iter	Passed	Remaining
0	1876	1875089
1	3566	1779564
2	5416	1800208
3	7011	1745823
4	8585	1708480
5	10309	1707980
6	11883	1685766
7	13462	1669390
8	15018	1653702
9	16556	1639046
10	18088	1626324
11	19917	1639905
12	21831	1657537
13	23585	1661123
14	25200	1654812
15	26785	1647295
16	28435	1644259
17	30155	1645142
18	31747	1639168
19	33340	1633706
20	34919	1627899
21	36489	1622123
22	38100	1618460
23	39837	1620052
24	41441	1616200
25	43075	1613678
26	44704	1611023
27	46281	1606631
28	48114	1611016
29	49769	1609229
30	51388	1606303
31	52997	1603182
32	54716	1603354
33	56363	1601398
34	58133	1602821
35	59852	1602718
36	61428	1598801
37	63021	1595445
38	64692	1594092
39	66296	1591119
40	68097	1592823
41	69810	1592353
42	71397	1589004
43	72947	1584950
44	74544	1581997
45	76113	1578536
46	77887	1579295
47	79539	1577532
48	81110	1574208
49	82762	1572480
50	84386	1570252
51	86188	1571275
52	87824	1569236
53	89440	1566860
54	91058	1564548
55	92687	1562440
56	94286	1559866
57	96054	1560055
58	97596	1556579
59	99220	1554455
60	100816	1551914
61	102399	1549199
62	103977	1546458
63	105738	1546423
64	107274	1543106
65	108810	1539834
66	110333	1536439
67	111912	1533859
68	113464	1530950
69	115162	1530022
70	116694	1526885
71	118244	1524041
72	119801	1521308
73	121336	1518340
74	123024	1517296
75	124557	1514352
76	126073	1511245
77	127575	1508005
78	129088	1504947
79	130649	1502472
80	132308	1501134
81	133870	1498693
82	135468	1496686
83	136992	1493875
84	138511	1491034
85	140052	1488460
86	141704	1487087
87	143223	1484314
88	144768	1481847
89	146304	1479297
90	147825	1476632
91	149355	1474078
92	151085	1473488
93	152587	1470687
94	154115	1468155
95	155672	1465912
96	157180	1463234
97	158839	1461969
98	160355	1459398
99	161955	1457595
100	163757	1457601
101	165500	1457051
102	167109	1455311
103	168845	1454669
104	170428	1452702
105	172044	1451017
106	173605	1448877
107	175126	1446411
108	176652	1444010
109	178357	1443073
110	179923	1441008
111	181467	1438779
112	182977	1436295
113	184485	1433810
114	186174	1432731
115	187700	1430410
116	189212	1427987
117	190721	1425560
118	192293	1423616
119	193790	1421133
120	195461	1419924
121	197014	1417858
122	198568	1415809
123	200182	1414190
124	201850	1412954
125	203463	1411324
126	205216	1410663
127	206813	1408918
128	208408	1407158
129	209952	1405065
130	211563	1403428
131	213278	1402469
132	214776	1400081
133	216301	1397891
134	217834	1395754
135	219362	1393594
136	220891	1391456
137	222554	1390161
138	224057	1387868
139	225593	1385790
140	227110	1383600
141	228604	1381287
142	230165	1379383
143	231861	1378289
144	233408	1376307
145	234938	1374228
146	236442	1372012
147	237973	1369957
148	239643	1368699
149	241170	1366635
150	242710	1364643
151	244229	1362541
152	245732	1360360
153	247247	1358253
154	248929	1357066
155	250481	1355166
156	251973	1352952
157	253510	1350988
158	255082	1349209
159	256623	1347275
160	258307	1346085
161	259810	1343957
162	261296	1341750
163	262798	1339632
164	264303	1337536
165	265941	1336113
166	267465	1334122
167	269021	1332297
168	270547	1330326
169	272051	1328251
170	273574	1326278
171	275235	1324971
172	276741	1322919
173	278249	1320884
174	279747	1318811
175	281244	1316735
176	282896	1315387
177	284413	1313416
178	285921	1311403
179	287392	1309232
180	288939	1307409
181	290442	1305395
182	292089	1304026
183	293579	1301961
184	295063	1299874
185	296545	1297785
186	298024	1295688
187	299529	1293713
188	301173	1292336
189	302656	1290272
190	304176	1288368
191	305696	1286473
192	307206	1284535
193	308733	1282676
194	310358	1281222
195	311906	1279453
196	313400	1277464
197	314918	1275578
198	316444	1273727
199	318075	1272303
