iter	Passed	Remaining
0	12	1290
1	22	1189
2	32	1132
3	42	1101
4	51	1067
5	61	1039
6	70	1011
7	79	997
8	90	990
9	99	973
10	108	958
11	117	940
12	126	927
13	135	911
14	144	898
15	154	888
16	163	874
17	172	862
18	183	857
19	192	848
20	202	837
21	211	826
22	220	814
23	229	802
24	239	794
25	248	784
26	258	774
27	267	764
28	276	752
29	286	744
30	295	734
31	304	723
32	314	713
33	323	703
34	332	692
35	341	683
36	352	675
37	361	666
38	371	657
39	381	648
40	390	638
41	400	629
42	410	621
43	420	612
44	430	602
45	440	593
46	449	582
47	458	573
48	468	563
49	477	553
50	486	543
51	495	534
52	505	524
53	514	514
54	523	504
55	533	495
56	542	485
57	551	475
58	561	466
59	570	456
60	579	446
61	589	437
62	598	427
63	607	417
64	617	408
65	626	398
66	636	389
67	646	380
68	655	370
69	665	361
70	674	351
71	684	342
72	693	332
73	703	323
74	713	313
75	723	304
76	732	295
77	742	285
78	752	276
79	762	266
80	771	257
81	780	247
82	790	237
83	799	228
84	808	218
85	818	209
86	828	199
87	837	190
88	847	180
89	856	171
90	866	161
91	875	152
92	885	142
93	894	133
94	903	123
95	912	114
96	922	104
97	931	95
98	941	85
99	950	76
100	960	66
101	970	57
102	979	47
103	989	38
104	999	28
105	1009	19
106	1018	9
107	1028	0
